CUSTOMERID,GENDER,AGE,MARRIED,DEPENDENTS,CITY,ZIP_CODE,SENIORCITIZEN,TENURE,PHONESERVICE,MULTIPLELINES,INTERNETSERVICE,INTERNET_TYPE,ONLINESECURITY,ONLINEBACKUP,DEVICEPROTECTION,TECHSUPPORT,STREAMINGTV,STREAMINGMOVIES,STREAMING_MUSIC,UNLIMITED_DATA,CONTRACT,PAPERLESSBILLING,PAYMENTMETHOD,MONTHLYCHARGES,TOTALCHARGES,TOTAL_REVENUE,TOTAL_REFUNDS,NUMBER_OF_REFERRALS,OFFER,AVG_MONTHLY_GB_DOWNLOAD,CHURN,CHURN_CATEGORY,CHURN_REASON,CHURN_BINARY,CHURN_PROBABILITY,RISK_TIER
0023-UYUPN,Female,79,True,False,Ahwahnee,93601,1,50,True,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,One year,False,Electronic check,25.2,1306.3,2877.8,0.0,0,,,No,,,0,0.036727834595336406,Low Risk
0023-XUOPT,Female,26,True,False,Carnelian Bay,96140,0,13,True,Yes,Fiber optic,Fiber Optic,No,Yes,Yes,No,Yes,No,False,True,Month-to-month,False,Electronic check,94.1,1215.6,1781.88,0.0,1,,52.0,Yes,Other,Don't know,1,0.6198579567901152,High Risk
0027-KWYKW,Female,30,True,True,Alpaugh,93201,0,23,True,Yes,Fiber optic,Fiber Optic,No,No,No,No,Yes,No,False,True,Month-to-month,True,Electronic check,83.75,1849.95,2652.88,0.0,1,Offer D,30.0,No,,,0,0.5665825312653725,Medium Risk
0031-PVLZI,Female,34,True,True,Korbel,95550,0,4,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Month-to-month,False,Mailed check,20.35,76.35,126.07,0.0,0,Offer E,,Yes,Price,Long distance charges,1,0.379073729693582,Medium Risk
0032-PGELS,Female,37,True,True,Palomar Mountain,92060,0,1,False,No phone service,DSL,DSL,Yes,No,No,No,No,No,False,True,Month-to-month,False,Bank transfer (automatic),30.5,30.5,30.5,0.0,1,,19.0,Yes,Attitude,Attitude of service provider,1,0.9871428571428571,High Risk
0036-IHMOT,Female,37,True,True,Parlier,93648,0,55,True,No,Fiber optic,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,True,False,One year,True,Bank transfer (automatic),103.7,5656.75,7603.95,0.0,10,,57.0,No,,,0,0.041524334081830296,Low Risk
0040-HALCW,Male,42,True,True,Modesto,95358,0,54,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,False,Credit card (automatic),20.4,1090.6,2154.4,0.0,3,,,No,,,0,0.00039405120453507553,Low Risk
0042-JVWOJ,Male,64,False,False,Glen Ellen,95442,0,26,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,One year,True,Bank transfer (automatic),19.6,471.85,1430.8,21.25,0,Offer C,,No,,,0,0.015577029569039946,Low Risk
0042-RLHYP,Female,47,True,True,Eureka,95503,0,69,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,False,Bank transfer (automatic),19.7,1396.9,4045.81,0.0,5,,,No,,,0,6.0483870967741935e-05,Low Risk
0048-LUMLS,Male,23,True,True,Moss Beach,94038,0,37,True,No,Fiber optic,Fiber Optic,No,No,No,No,Yes,Yes,True,True,One year,False,Credit card (automatic),91.2,3247.55,4838.92,0.0,1,Offer C,51.0,No,,,0,0.24248414552869002,Low Risk
0048-PIHNL,Female,48,True,False,Los Angeles,90058,0,49,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,One year,False,Bank transfer (automatic),20.45,900.9,3330.32,0.0,5,Offer B,,No,,,0,0.0158109696165361,Low Risk
0052-DCKON,Male,28,True,False,Los Angeles,90063,0,66,True,Yes,Fiber optic,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,True,True,One year,False,Bank transfer (automatic),115.8,7942.15,10830.97,0.0,9,,41.0,No,,,0,0.06311086563387261,Low Risk
0052-YNYOT,Female,28,False,False,Calexico,92231,0,67,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,One year,False,Electronic check,20.55,1343.4,2861.91,30.53,0,,,No,,,0,0.015304409424171156,Low Risk
0056-EPFBG,Male,33,True,True,Redding,96003,0,20,False,No phone service,DSL,Cable,Yes,No,Yes,Yes,No,No,False,True,Two year,True,Credit card (automatic),39.4,825.4,825.4,0.0,4,,22.0,No,,,0,0.014359556266034993,Low Risk
0057-QBUQH,Female,31,False,True,San Martin,95046,0,43,True,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,True,Electronic check,25.1,1070.15,2387.67,0.0,0,,,No,,,0,0.01889570356246327,Low Risk
0058-EVZWM,Female,37,True,False,Stockton,95209,0,55,True,Yes,Fiber optic,Fiber Optic,Yes,No,No,No,Yes,No,False,True,Month-to-month,True,Bank transfer (automatic),89.8,4959.6,5239.0,0.0,2,Offer B,9.0,No,,,0,0.17800657489724847,Low Risk
0060-FUALY,Female,60,True,False,Los Angeles,90003,0,59,True,Yes,Fiber optic,Fiber Optic,Yes,Yes,No,No,Yes,No,False,True,Month-to-month,True,Electronic check,94.75,5597.65,6564.66,0.0,4,Offer B,14.0,No,,,0,0.11163792409501458,Low Risk
0064-SUDOG,Female,48,True,True,Huntington Park,90255,0,12,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,False,Bank transfer (automatic),20.3,224.5,455.86,0.0,3,,,No,,,0,0.01450098390968961,Low Risk
0064-YIJGF,Male,60,True,True,Yermo,92398,0,27,True,Yes,Fiber optic,Fiber Optic,No,No,No,No,No,No,False,True,Month-to-month,True,Bank transfer (automatic),75.75,1929.0,2611.02,0.0,7,Offer C,23.0,No,,,0,0.0836097794693318,Low Risk
0067-DKWBL,Male,69,False,False,San Diego,92129,1,2,True,No,DSL,DSL,Yes,No,No,No,No,No,False,True,Month-to-month,True,Electronic check,49.25,91.1,179.08,0.0,0,,27.0,Yes,Competitor,Competitor made better offer,1,1.0,High Risk
0068-FIGTF,Female,20,False,False,Fremont,94539,0,27,True,No,DSL,DSL,No,Yes,Yes,Yes,Yes,Yes,True,True,One year,False,Mailed check,78.2,2078.95,3399.52,0.0,0,Offer C,59.0,No,,,0,0.11671473634028878,Low Risk
0071-NDAFP,Male,31,True,True,Santa Rosa,95405,0,25,True,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,False,Credit card (automatic),25.5,630.6,1178.43,44.42,1,,,No,,,0,0.022005272345570655,Low Risk
0074-HDKDG,Male,46,True,True,San Jose,95126,0,25,True,No,DSL,Cable,Yes,Yes,Yes,No,No,No,False,True,One year,True,Bank transfer (automatic),61.6,1611.0,1727.35,44.9,5,,19.0,No,,,0,0.02620882443001317,Low Risk
0076-LVEPS,Male,57,False,True,Tujunga,91042,0,29,False,No phone service,DSL,DSL,Yes,Yes,Yes,Yes,No,No,False,True,Month-to-month,True,Mailed check,45.0,1242.45,1230.19,12.26,0,,21.0,No,,,0,0.09922173158429254,Low Risk
0078-XZMHT,Male,19,True,False,Visalia,93291,0,72,True,Yes,DSL,DSL,No,Yes,Yes,Yes,Yes,Yes,True,True,Two year,True,Bank transfer (automatic),85.15,6316.2,8646.12,0.0,5,,52.0,No,,,0,0.02031763619461984,Low Risk
0080-EMYVY,Female,64,False,False,Lodi,95240,0,14,True,No,DSL,Cable,No,Yes,No,No,No,No,False,True,One year,False,Credit card (automatic),51.45,727.85,1064.41,0.0,0,,12.0,No,,,0,0.08750891788046809,Low Risk
0080-OROZO,Female,38,False,False,El Portal,95318,0,35,True,No,Fiber optic,Fiber Optic,No,No,Yes,Yes,Yes,Yes,True,True,One year,True,Electronic check,99.25,3532.0,4806.7,0.0,0,Offer C,2.0,No,,,0,0.23354616926390595,Low Risk
0082-OQIQY,Male,50,False,False,Farmington,95230,0,29,True,No,Fiber optic,Fiber Optic,No,No,No,Yes,Yes,Yes,True,False,Month-to-month,True,Electronic check,94.2,2607.6,2687.05,0.0,0,,17.0,No,,,0,0.3500548914612416,Medium Risk
0083-PIVIK,Male,25,False,False,Tulelake,96134,0,64,True,Yes,DSL,DSL,Yes,Yes,Yes,Yes,Yes,No,False,False,One year,False,Electronic check,81.25,5567.55,5958.91,0.0,0,,69.0,No,,,0,0.042352224077832984,Low Risk
0089-IIQKO,Female,35,True,True,Coleville,96107,0,39,True,Yes,Fiber optic,Fiber Optic,No,No,No,Yes,Yes,Yes,True,True,Month-to-month,True,Credit card (automatic),99.95,3767.4,4718.22,0.0,1,,53.0,No,,,0,0.3843260310445568,Medium Risk
0093-EXYQL,Female,72,False,False,Ojai,93023,1,40,True,No,Fiber optic,Fiber Optic,No,No,No,No,Yes,Yes,False,True,Month-to-month,True,Electronic check,91.55,3673.6,5439.2,0.0,0,,23.0,No,,,0,0.4708296846602467,Medium Risk
0093-XWZFY,Male,51,False,False,Desert Hot Springs,92241,0,40,True,Yes,Fiber optic,Fiber Optic,No,Yes,Yes,No,Yes,Yes,True,True,Month-to-month,True,Credit card (automatic),104.5,4036.85,5544.45,0.0,0,,15.0,Yes,Competitor,Competitor had better devices,1,0.5130100834277168,Medium Risk
0094-OIFMO,Female,78,False,False,North Hollywood,91605,1,11,True,No,Fiber optic,Fiber Optic,No,Yes,No,No,Yes,Yes,False,False,Month-to-month,True,Electronic check,95.0,1120.3,1367.79,0.0,0,Offer D,29.0,Yes,Dissatisfaction,Product dissatisfaction,1,0.6481872658760305,High Risk
0096-BXERS,Female,30,True,False,Inverness,94937,0,6,True,Yes,DSL,Cable,No,No,No,No,No,No,False,True,Month-to-month,False,Electronic check,50.35,314.55,570.51,0.0,10,Offer E,85.0,No,,,0,0.12705672933477152,Low Risk
0096-FCPUF,Male,58,False,False,Santa Rosa,95404,0,30,True,Yes,DSL,DSL,Yes,No,No,No,No,Yes,True,True,Month-to-month,True,Mailed check,64.5,1888.45,1967.65,0.0,0,,15.0,No,,,0,0.12139295079886046,Low Risk
0098-BOWSO,Male,26,False,False,San Jose,95131,0,27,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Month-to-month,True,Electronic check,19.4,529.8,1087.62,0.0,0,,,No,,,0,0.04565432992650678,Low Risk
0100-DUVFC,Male,66,True,False,Wilmington,90744,1,70,True,Yes,Fiber optic,Fiber Optic,No,Yes,Yes,No,Yes,Yes,False,True,One year,True,Electronic check,104.8,7308.95,10067.14,6.11,3,,28.0,No,,,0,0.10923800769807089,Low Risk
0103-CSITQ,Female,20,True,False,Modesto,95357,0,57,True,Yes,Fiber optic,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,True,True,One year,True,Bank transfer (automatic),109.4,6252.7,6709.27,0.0,10,Offer B,73.0,No,,,0,0.05031168820472679,Low Risk
0104-PPXDV,Male,61,True,False,San Diego,92113,0,58,True,No,DSL,DSL,No,No,Yes,No,No,No,False,True,One year,False,Credit card (automatic),50.3,2878.55,3933.78,10.23,10,,18.0,No,,,0,0.01276645215265392,Low Risk
0106-GHRQR,Male,24,False,False,Rancho Palos Verdes,90275,0,16,True,Yes,DSL,DSL,No,Yes,Yes,No,No,Yes,True,True,Month-to-month,True,Bank transfer (automatic),71.4,1212.1,1623.46,0.0,0,,48.0,No,,,0,0.35069596562644323,Medium Risk
0106-UGRDO,Female,55,True,False,Kenwood,95452,0,69,True,Yes,Fiber optic,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,True,True,Two year,True,Electronic check,116.0,8182.85,10840.73,0.0,3,Offer A,27.0,No,,,0,0.020378807552737858,Low Risk
0107-WESLM,Male,32,False,False,West Point,95255,0,1,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Month-to-month,True,Electronic check,19.85,19.85,51.62,0.0,0,Offer E,,Yes,Attitude,Attitude of support person,1,1.0,High Risk
0107-YHINA,Male,59,False,True,Los Angeles,90062,0,1,True,Yes,Fiber optic,Fiber Optic,No,No,Yes,No,Yes,Yes,True,True,Month-to-month,True,Electronic check,99.75,99.75,140.46,0.0,0,,25.0,Yes,Competitor,Competitor had better devices,1,0.9733510203620264,High Risk
0111-KLBQG,Male,71,True,True,Morongo Valley,92256,1,32,True,No,Fiber optic,Fiber Optic,No,Yes,No,No,Yes,Yes,True,True,Month-to-month,True,Mailed check,93.95,2861.45,3880.97,0.0,9,Offer C,23.0,No,,,0,0.09899677607504724,Low Risk
0112-QAWRZ,Male,49,True,True,Palo Verde,92266,0,16,True,Yes,Fiber optic,Fiber Optic,No,No,Yes,No,Yes,No,False,True,Month-to-month,True,Bank transfer (automatic),90.8,1442.2,2221.56,0.0,8,Offer D,12.0,No,,,0,0.19549520505757914,Low Risk
0112-QWPNC,Male,61,True,False,Valyermo,93563,0,49,True,Yes,DSL,Cable,Yes,No,Yes,Yes,Yes,Yes,True,True,One year,False,Electronic check,84.35,4059.35,5997.3,0.0,1,Offer B,10.0,Yes,Competitor,Competitor offered higher download speeds,1,0.33940553976423543,Medium Risk
0114-IGABW,Female,40,True,False,Cambria,93428,0,71,False,No phone service,DSL,Cable,No,Yes,Yes,Yes,Yes,Yes,True,True,Two year,False,Bank transfer (automatic),58.25,4145.9,4145.9,0.0,2,Offer A,29.0,No,,,0,0.011622589566163298,Low Risk
0114-PEGZZ,Female,39,False,False,Round Mountain,96084,0,33,True,Yes,Fiber optic,Fiber Optic,No,Yes,Yes,No,Yes,Yes,True,True,Month-to-month,False,Electronic check,107.55,3645.5,5285.27,0.0,0,,12.0,No,,,0,0.4432227158200987,Medium Risk
0114-RSRRW,Female,21,True,False,Klamath,95548,0,10,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Month-to-month,True,Bank transfer (automatic),19.95,187.75,683.75,0.0,9,Offer D,,No,,,0,0.049425469248979274,Low Risk
0115-TFERT,Male,24,True,False,Fresno,93650,0,21,True,Yes,Fiber optic,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,True,False,Month-to-month,True,Electronic check,111.2,2317.1,3198.56,0.0,1,,59.0,Yes,Attitude,Attitude of service provider,1,0.6615053276597732,High Risk
0117-LFRMW,Male,52,True,True,Angwin,94508,0,37,False,No phone service,DSL,DSL,Yes,Yes,Yes,No,No,No,False,True,Month-to-month,False,Bank transfer (automatic),40.2,1448.8,1448.8,0.0,1,,23.0,Yes,Competitor,Competitor offered more data,1,0.44528181628808405,Medium Risk
0118-JPNOY,Female,71,False,False,Le Grand,95333,1,26,True,No,Fiber optic,Fiber Optic,Yes,No,No,No,Yes,No,False,True,Month-to-month,True,Credit card (automatic),85.8,2193.65,3070.89,0.0,0,,7.0,No,,,0,0.3523165884341513,Medium Risk
0121-SNYRK,Male,45,False,False,Redway,95560,0,50,False,No phone service,DSL,DSL,Yes,No,No,Yes,No,No,False,True,One year,True,Mailed check,35.4,1748.9,1748.9,0.0,0,Offer B,7.0,No,,,0,0.05154702841291918,Low Risk
0122-OAHPZ,Female,29,False,False,San Diego,92122,0,7,True,Yes,Fiber optic,Fiber Optic,No,No,No,No,No,No,True,True,Month-to-month,True,Electronic check,73.85,511.25,698.56,13.03,0,,26.0,Yes,Competitor,Competitor made better offer,1,0.6645089317845381,High Risk
0123-CRBRT,Female,62,True,True,Monterey Park,91755,0,61,True,Yes,DSL,DSL,Yes,Yes,Yes,Yes,Yes,Yes,True,True,Two year,False,Mailed check,88.1,5526.75,8405.34,0.0,1,Offer B,28.0,No,,,0,0.03277686175860756,Low Risk
0125-LZQXK,Male,42,False,False,Big Oak Flat,95305,0,15,True,No,Fiber optic,Fiber Optic,No,No,Yes,Yes,Yes,Yes,True,True,Month-to-month,True,Electronic check,101.35,1553.95,2242.75,0.0,0,Offer D,12.0,Yes,Attitude,Attitude of service provider,1,0.5590889622225513,Medium Risk
0128-MKWSG,Female,51,False,True,Stevenson Ranch,91381,0,26,False,No phone service,DSL,DSL,Yes,No,No,Yes,No,Yes,True,True,Month-to-month,False,Mailed check,45.8,1147.0,1147.0,0.0,0,,19.0,No,,,0,0.11831892983982882,Low Risk
0129-KPTWJ,Male,39,True,False,North Highlands,95660,0,72,True,No,Fiber optic,Fiber Optic,No,No,Yes,No,Yes,Yes,True,True,Month-to-month,True,Electronic check,94.65,6747.35,9139.19,0.0,9,,23.0,No,,,0,0.07996579279426365,Low Risk
0129-QMPDR,Male,64,True,True,La Puente,91746,0,44,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,One year,True,Bank transfer (automatic),20.5,865.05,2070.65,0.0,1,,,No,,,0,0.018878295550573177,Low Risk
0130-SXOUN,Male,55,False,False,Glenhaven,95443,0,66,True,Yes,Fiber optic,Fiber Optic,No,Yes,No,No,No,Yes,True,False,Month-to-month,False,Credit card (automatic),89.4,5976.9,9200.36,36.02,0,Offer A,8.0,No,,,0,0.2396802501000164,Low Risk
0133-BMFZO,Female,40,False,False,Alhambra,91803,0,2,True,No,Fiber optic,Fiber Optic,Yes,Yes,No,Yes,No,No,False,True,Month-to-month,True,Electronic check,86.25,181.65,255.27,0.0,0,,16.0,Yes,Competitor,Competitor offered higher download speeds,1,0.9170815268468558,High Risk
0134-XWXCE,Female,76,False,False,Santa Monica,90403,1,44,True,No,DSL,DSL,No,No,Yes,Yes,Yes,Yes,True,True,One year,False,Bank transfer (automatic),74.85,3268.05,3589.82,17.91,0,,17.0,No,,,0,0.0694501078969565,Low Risk
0135-NMXAP,Female,57,False,False,Lodi,95240,0,12,True,Yes,Fiber optic,Fiber Optic,No,Yes,No,No,Yes,No,False,True,Month-to-month,True,Bank transfer (automatic),89.75,1052.4,1224.96,0.0,0,Offer D,6.0,Yes,Attitude,Attitude of support person,1,0.6801811013597424,High Risk
0136-IFMYD,Male,71,True,False,Los Angeles,90001,1,69,True,Yes,Fiber optic,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,False,True,Two year,True,Electronic check,109.95,7634.25,8904.54,0.0,1,,17.0,No,,,0,0.16360137234431307,Low Risk
0137-OCGAB,Female,25,False,False,Fairfield,94533,0,1,True,Yes,Fiber optic,Fiber Optic,No,Yes,No,No,No,No,False,True,Month-to-month,True,Mailed check,80.2,80.2,81.43,0.0,0,Offer E,69.0,Yes,Price,Lack of affordable download/upload speed,1,0.99625,High Risk
0137-UDEUO,Female,24,False,False,Stockton,95204,0,3,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Month-to-month,False,Mailed check,19.85,63.75,141.0,0.0,0,Offer E,,Yes,Price,Long distance charges,1,0.9410933205881955,High Risk
0141-YEAYS,Female,77,False,False,Fallbrook,92028,1,27,True,Yes,Fiber optic,Fiber Optic,No,Yes,Yes,No,No,No,False,True,Month-to-month,True,Bank transfer (automatic),86.45,2401.05,2481.24,0.0,0,,4.0,No,,,0,0.5092912012497602,Medium Risk
0142-GVYSN,Male,57,False,False,Randsburg,93554,0,26,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Month-to-month,True,Electronic check,20.3,511.25,858.09,0.0,0,Offer C,,No,,,0,0.035897636224771594,Low Risk
0147-ESWWR,Female,73,True,False,Atascadero,93422,1,39,True,Yes,Fiber optic,Fiber Optic,No,No,No,Yes,Yes,Yes,True,True,Month-to-month,True,Electronic check,101.25,3949.15,4735.0,0.0,9,,21.0,No,,,0,0.1382515624070803,Low Risk
0148-DCDOS,Male,41,False,False,Planada,95365,0,25,True,Yes,Fiber optic,Fiber Optic,No,No,No,No,Yes,Yes,True,True,Month-to-month,True,Bank transfer (automatic),94.7,2362.1,3234.1,0.0,0,,8.0,Yes,Competitor,Competitor had better devices,1,0.49470496896470834,Medium Risk
0151-ONTOV,Female,43,False,False,Moorpark,93021,0,1,True,No,Fiber optic,Fiber Optic,No,No,No,No,No,No,False,True,Month-to-month,False,Mailed check,70.9,70.9,110.71,0.0,0,Offer E,23.0,Yes,Competitor,Competitor had better devices,1,0.9987905184246648,High Risk
0156-FVPTA,Male,48,True,False,Solvang,93463,0,22,True,No,DSL,DSL,Yes,No,No,Yes,No,No,False,True,Month-to-month,True,Electronic check,54.2,1152.7,1751.98,0.0,1,Offer D,21.0,Yes,Attitude,Attitude of service provider,1,0.3578321963685964,Medium Risk
0164-APGRB,Female,56,False,False,Calistoga,94515,0,72,True,Yes,Fiber optic,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,True,True,Two year,True,Electronic check,114.9,8496.7,11979.34,0.0,0,Offer A,5.0,No,,,0,0.09120427032670526,Low Risk
0164-XAIRP,Female,51,False,False,La Mirada,90638,0,24,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,True,Bank transfer (automatic),19.55,470.2,725.56,0.0,0,,,No,,,0,0.007897574803917382,Low Risk
0168-XZKBB,Female,34,True,False,Boron,93516,0,19,True,Yes,Fiber optic,Fiber Optic,No,No,No,No,Yes,No,False,True,Month-to-month,True,Electronic check,86.85,1564.4,1713.36,0.0,8,,16.0,No,,,0,0.15092016777808406,Low Risk
0174-QRVVY,Male,21,True,True,San Marcos,92078,0,71,True,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,False,Credit card (automatic),25.35,1847.55,2500.75,0.0,2,,,No,,,0,0.0101972927701874,Low Risk
0177-PXBAT,Male,78,True,False,Desert Center,92239,1,33,True,Yes,Fiber optic,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,False,True,Month-to-month,True,Bank transfer (automatic),109.9,3694.7,4524.65,0.0,7,,20.0,No,,,0,0.15643970721064585,Low Risk
0178-SZBHO,Male,54,True,True,Tuolumne,95379,0,47,True,Yes,Fiber optic,Fiber Optic,No,Yes,No,No,Yes,No,False,True,Month-to-month,False,Electronic check,87.2,4017.45,4068.68,0.0,7,,13.0,No,,,0,0.10613854301190245,Low Risk
